Lap,Toon Aerts,Quinten Hermans,Tom Pidcock,Corne van Kessel,Lars van der Haar,Laurens Sweeck,Tim Merlier,Gianni Vermeersch,Jens Adams,Tom Meeusen
0,0:00:07,0:00:07,0:00:07,0:00:07,0:00:07,0:00:07,0:00:07,0:00:07,0:00:08,0:00:08
1,0:07:32,0:07:31,0:07:35,0:07:32,0:07:43,0:07:36,0:07:32,0:07:44,0:07:47,0:07:51
2,0:07:38,0:07:36,0:07:41,0:07:38,0:07:46,0:07:36,0:07:40,0:07:46,0:07:56,0:07:55
3,0:07:45,0:07:45,0:07:49,0:07:45,0:07:49,0:07:41,0:07:43,0:07:48,0:07:59,0:08:00
4,0:07:49,0:07:52,0:07:42,0:07:48,0:07:52,0:07:50,0:07:53,0:07:53,0:08:05,0:08:05
5,0:07:31,0:07:33,0:07:42,0:07:54,0:07:54,0:07:34,0:07:58,0:07:53,0:08:04,0:08:00
6,0:07:41,0:07:51,0:07:53,0:08:03,0:07:50,0:08:00,0:08:08,0:08:03,0:08:03,0:08:02
7,0:07:48,0:07:54,0:07:49,0:07:57,0:07:50,0:08:38,0:08:05,0:08:11,0:08:08,0:08:09
8,0:08:01,0:07:51,0:07:51,0:07:57,0:07:52,0:08:16,0:08:24,0:08:36,0:08:04,0:08:16
Nationality,BEL,BEL,GBR,NED,NED,BEL,BEL,BEL,BEL,BEL
Average Speed,23.995,23.932,23.921,23.919,23.908,23.786,23.779,23.769,23.71,23.701
Total Time,1:01:52,1:02:00,1:02:09,1:02:41,1:02:43,1:03:18,1:03:30,1:04:01,1:04:14,1:04:26