Lap,Nino Schurter,Mathias Flückinger,Henrique Avancini,Gerhard Kerschbaumer,Jordan Sarrou,Jose Ulloa,Anton Cooper,Anton Sintsov,Viktor Koretzky,Ondrej Cink
1,0:10:55,0:11:25,0:10:41,0:11:00,0:10:48,0:10:56,0:11:28,0:11:26,0:10:57,0:10:47
2,0:11:21,0:11:01,0:11:18,0:11:26,0:11:28,0:11:20,0:11:30,0:11:33,0:11:54,0:11:11
3,0:11:23,0:11:12,0:11:35,0:11:21,0:11:39,0:11:39,0:11:40,0:11:41,0:11:47,0:11:21
4,0:11:44,0:11:45,0:11:48,0:11:36,0:11:32,0:11:32,0:11:36,0:11:44,0:11:36,0:11:27
5,0:11:24,0:11:23,0:11:25,0:11:49,0:11:44,0:11:44,0:11:37,0:11:56,0:11:46,0:13:46
6,0:11:39,0:11:39,0:11:39,0:11:45,0:11:47,0:11:47,0:11:28,0:11:20,0:11:36,0:11:17
7,0:11:08,0:11:11,0:11:20,0:11:04,0:11:21,0:11:29,0:11:08,0:11:13,0:11:21,0:11:16
Nationality,SUI,SUI,BRA,ITA,FRA,MEX,NZL,RUS,FRA,CZE
Average Speed,20.059,20.047,20.006,19.944,19.87,19.838,19.837,19.728,19.715,19.681
Total Time,1:19:34,1:19:36,1:19:46,1:20:01,1:20:19,1:20:27,1:20:27,1:20:53,1:20:57,1:21:05