Lap,Mathieu Van der Poel,Nino Schurter,Mathias Flückinger,Viktor Koretzky,Gerhard Kerschbaumer,Stephane Tempier,Titouan Carod,Manuel Fumic,Luca Braidot,Henrique Avancini
1,0:10:43,0:10:43,0:11:01,0:10:44,0:11:21,0:11:03,0:10:44,0:10:53,0:11:17,0:10:44
2,0:11:22,0:11:22,0:11:05,0:11:44,0:11:15,0:11:17,0:11:34,0:11:28,0:11:18,0:11:22
3,0:11:04,0:11:05,0:11:14,0:11:30,0:11:21,0:11:25,0:11:39,0:11:35,0:11:28,0:11:15
4,0:11:21,0:11:21,0:11:29,0:11:23,0:11:23,0:11:36,0:11:24,0:11:37,0:11:29,0:11:27
5,0:11:23,0:11:22,0:11:59,0:11:33,0:11:35,0:11:33,0:11:33,0:11:48,0:11:49,0:12:00
6,0:10:42,0:10:58,0:10:57,0:11:34,0:11:33,0:11:33,0:11:33,0:11:41,0:11:40,0:12:04
7,0:11:15,0:11:24,0:11:18,0:11:06,0:11:06,0:11:33,0:11:52,0:11:26,0:11:36,0:12:09
Nationality,NED,SUI,SUI,FRA,ITA,FRA,FRA,GER,ITA,BRA
Average Speed,22.354,22.233,22.011,21.867,21.865,21.748,21.633,21.62,21.581,21.474
Total Time,1:17:50,1:18:15,1:19:03,1:19:34,1:19:34,1:20:00,1:20:19,1:20:28,1:20:37,1:21:01